UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
5001,L52180,L,303.7,312.8,1832,23.6,35,0,No Failure
5002,M19861,M,303.6,312.7,2174,17.6,37,0,No Failure
5003,L52182,L,303.7,312.8,1627,31.7,40,0,No Failure
5004,L52183,L,303.7,312.8,1437,51.3,42,0,No Failure
5005,L52184,L,303.7,312.8,1364,46.3,44,0,No Failure
5006,M19865,M,303.7,312.9,1444,52.7,46,0,No Failure
5007,M19866,M,303.7,312.8,1366,47.3,49,0,No Failure
5008,L52187,L,303.8,312.9,1442,48.3,52,0,No Failure
5009,H34422,H,303.7,312.8,1488,42.8,54,0,No Failure
5010,L52189,L,303.7,312.8,1523,40.7,59,0,No Failure
5011,L52190,L,303.7,312.8,1543,38.3,61,0,No Failure
5012,M19871,M,303.7,312.8,1634,33.8,63,0,No Failure
5013,M19872,M,303.8,312.9,1815,27.8,66,0,No Failure
5014,M19873,M,303.8,312.9,1594,35.2,69,0,No Failure
5015,L52194,L,303.8,313,1452,38.6,72,0,No Failure
5016,L52195,L,303.9,313,1759,28.4,74,0,No Failure
5017,L52196,L,303.9,313,1408,47.5,76,0,No Failure
5018,L52197,L,303.9,313,1483,45,78,0,No Failure
5019,M19878,M,303.9,313,1620,36.6,80,0,No Failure
5020,M19879,M,304,313.1,1466,39.5,83,0,No Failure
5021,L52200,L,304.1,313.1,1556,36.3,86,0,No Failure
5022,L52201,L,304,313,1350,61.1,88,0,No Failure
5023,L52202,L,304,313.1,1404,47.1,90,0,No Failure
5024,M19883,M,304,313,1575,34.5,92,0,No Failure
5025,L52204,L,303.9,313.1,1639,29,95,0,No Failure
5026,M19885,M,303.9,313.1,1473,42.8,97,0,No Failure
5027,L52206,L,303.9,313.2,1481,40,100,0,No Failure
5028,L52207,L,304,313.3,1294,54.6,102,0,No Failure
5029,M19888,M,303.9,313.2,1630,29.3,104,0,No Failure
5030,M19889,M,303.9,313.2,1624,39.8,107,0,No Failure
5031,M19890,M,303.9,313.1,1437,48.3,110,0,No Failure
5032,M19891,M,303.8,313,1514,45,113,0,No Failure
5033,M19892,M,304,313.1,1694,31.4,116,0,No Failure
5034,L52213,L,304,313.1,1564,50.9,119,0,No Failure
5035,M19894,M,303.9,313.1,1514,41.1,121,0,No Failure
5036,M19895,M,304,313.2,1500,40.6,124,0,No Failure
5037,L52216,L,304,313.2,1615,37.8,127,0,No Failure
5038,M19897,M,304.1,313.2,1586,41.1,129,0,No Failure
5039,L52218,L,304.1,313.3,1732,28.5,132,0,No Failure
5040,H34453,H,304.1,313.3,1689,32.5,134,0,No Failure
5041,H34454,H,304.1,313.2,1586,34.6,139,0,No Failure
5042,L52221,L,304,313.2,1314,47.1,144,0,No Failure
5043,L52222,L,304.1,313.2,1569,35.8,146,0,No Failure
5044,L52223,L,304.1,313.2,1468,39.4,148,0,No Failure
5045,L52224,L,304.1,313.2,1412,47.5,150,0,No Failure
5046,M19905,M,304.1,313.2,1510,46.9,152,0,No Failure
5047,M19906,M,304.1,313.2,1410,42.4,155,0,No Failure
5048,M19907,M,304.1,313.3,1680,29.3,158,0,No Failure
5049,H34462,H,304,313.2,1271,68.6,161,1,Power Failure
5050,H34463,H,304,313.1,1472,45.5,166,0,No Failure
5051,H34464,H,304,313,1701,30.4,171,0,No Failure
5052,L52231,L,303.9,313,1480,39.9,176,0,No Failure
5053,L52232,L,303.9,313,1433,48.4,178,0,No Failure
5054,L52233,L,303.8,312.9,1514,34.3,180,0,No Failure
5055,L52234,L,303.8,312.9,1619,35.7,182,0,No Failure
5056,H34469,H,303.8,312.9,1378,45.6,184,0,No Failure
5057,M19916,M,303.9,312.9,1430,53.5,189,0,No Failure
5058,L52237,L,303.8,312.9,1367,49.9,192,0,No Failure
5059,L52238,L,303.9,312.9,1526,42.5,194,0,No Failure
5060,L52239,L,303.9,312.8,1419,47.9,196,0,No Failure
5061,L52240,L,304,312.8,1542,42.7,198,0,No Failure
5062,L52241,L,304,312.9,1363,62.5,200,1,Overstrain Failure
5063,L52242,L,304,312.9,1313,53.9,202,0,No Failure
5064,H34477,H,304,312.9,1495,46.6,0,0,No Failure
5065,L52244,L,304,313,1407,42.1,5,0,No Failure
5066,L52245,L,304.1,313,1566,37.2,7,0,No Failure
5067,L52246,L,304.1,313.1,1550,30.9,9,0,No Failure
5068,M19927,M,304.2,313.2,1396,50.5,11,0,No Failure
5069,M19928,M,304.3,313.3,1540,39,14,0,No Failure
5070,M19929,M,304.2,313.2,1380,48.7,17,0,No Failure
5071,M19930,M,304.2,313.1,1608,31.1,20,0,No Failure
5072,H34485,H,304.2,313,1442,40.9,23,0,No Failure
5073,L52252,L,304.1,313,1408,45.3,28,0,No Failure
5074,M19933,M,304,313,1454,46.8,30,0,No Failure
5075,L52254,L,304.1,313.1,1666,34.6,33,0,No Failure
5076,L52255,L,304.1,313.2,1366,46.6,35,0,No Failure
5077,L52256,L,304.2,313.2,1464,44.9,37,0,No Failure
5078,L52257,L,304.3,313.3,1775,24.9,39,0,No Failure
5079,M19938,M,304.3,313.4,1482,43.8,41,0,No Failure
5080,M19939,M,304.2,313.4,1411,54.8,44,0,No Failure
5081,L52260,L,304.2,313.3,1410,51.6,47,0,No Failure
5082,M19941,M,304.1,313.3,1494,39,49,0,No Failure
5083,H34496,H,304.1,313.2,1590,43.4,52,0,No Failure
5084,L52263,L,304.1,313.1,1327,54.1,57,0,No Failure
5085,L52264,L,304.1,313.1,1969,20.8,59,0,No Failure
5086,M19945,M,304,313,1377,56,61,0,No Failure
5087,L52266,L,304,313,1541,45.9,64,0,No Failure
5088,M19947,M,304,313,1685,28.2,66,0,No Failure
5089,L52268,L,304,313.1,1465,41,69,0,No Failure
5090,M19949,M,303.9,313.1,1483,47.2,71,0,No Failure
5091,M19950,M,303.9,313.2,1570,40.7,74,0,No Failure
5092,L52271,L,303.9,313.2,1345,48.2,77,0,No Failure
5093,M19952,M,303.9,313.2,1608,40.6,79,0,No Failure
5094,M19953,M,304,313.3,1415,52.8,82,0,No Failure
5095,M19954,M,304.1,313.5,1470,45.8,85,0,No Failure
5096,M19955,M,304.1,313.5,1428,39.9,88,0,No Failure
5097,H34510,H,304.2,313.5,1627,32.2,91,0,No Failure
5098,L52277,L,304.2,313.4,1457,49.4,96,0,No Failure
5099,L52278,L,304.2,313.4,1475,40.2,98,0,No Failure
5100,L52279,L,304.2,313.5,1438,50.1,100,0,No Failure
5101,M19960,M,304.2,313.5,1437,47.2,102,0,No Failure
